Label,Type,Tags,Description,Areas de trabajo,Campos de la nano,Direccion,Provincia,Ciudad,Empresas Incubadas,Image,Linkedin,Productos y/o servicios nano,Region,Servicios,Telefono,email,location,url,web
PUNA BIO S.A.,Empresa,,"En PunaBio trabajamos hoy para el agro del mañana. Queremos producir mejor, contribuyendo a la calidad del ambiente y de las personas que lo habitan, promoviendo una agricultura sustentable.

Bioinsumos del futuro, de fósiles vivientes. Investigamos bacterias que habitaron el planeta desde hace 3500 millones de años para crear el primer bioinoculante extremófilo del mundo. Capaz de mejorar rendimientos consistentemente entre 10-15% en suelos fértiles, y hacer crecer cultivos en suelos degradados.",,,Ayacucho 2009|Vicente López|provincia de Buenos Aires,Buenos Aires,Vicente López,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/de16305a-570a-4ec5-8e84-c390fb00d181.jpeg,,,,,,,"-34.523097770230486, -58.49706463557747",,
Nanotransfer,Empresa,,"**Sistema de delivery de genes para terapias génicas**

Estamos desarrollando un sistema de delivery para ser aplicado en terapias génicas in-vivo. El sistema de Nanotransfer se basa en nanopartículas inorgánicas.

Contamos con expertos en nanotecnología, síntesis química y biología molecular lo que nos permite sintetizar, caracterizar y modificar nuestro sistema en función a la interacción con los sistemas biológicos.

La librería de vehículos de Nanotransfer podrá acelerar el desarrollo de terapias génicas a nivel global.",Medicina,,,Córdoba,,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/663353/fe13bd36-e73b-4ed9-9aa2-080457e6b401.jpeg,www.linkedin.com/company/nanotransfer,**Nanovehículos para drugs delivery**: estamos desarrollando una librería de vehículos para hacer delivery de genes en terapias génicas. En función del gen y de la célula target se podrá elegir el vehículo adecuado para hacer el delivery.,,,,brian@nanotransfer.bio,"-31.43283254771526, -64.20318324023371",nanotransfer.bio,
ProinPharma Biomed S.A.,Empresa,,Empresa de biotecnología farmacéutica,,,Arregui 4023|ciudad de Buenos Aires,CABA,CABA,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/3acfb2ef-05e6-4345-bd4e-a84726cf33dc.jpeg,,,,,,,"-34.612275366458555, -58.49914264254861",,
Aminutric SAS,Empresa,,,,,Parque Industrial|Río Cuarto|provincia de Córdoba,Córdoba,Río Cuarto,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/70ab1cd8-8de2-4661-892a-1940045d1a86.jpeg,,,,,,,"-33.144577584987516, -64.3195069424682",,
Laboratorios Química Luar S.R.L.,Empresa,,"El laboratorio argentino Química Luar comienza su actividad en la ciudad de Córdoba en la década del 70, produciendo y comercializando medicamentos oftalmológicos, antimicrobianos, antimicrobianos inhalados y mucolíticos, con el objetivo de contribuir a mejorar la calidad de vida de los pacientes.

Promovemos la investigación y el desarrollo de productos innovadores, atendiendo las inquietudes de la comunidad médica respecto a patologías complejas y poco atendidas, como por ejemplo la Fibrosis Quística. Por esta razón hemos ganado el reconocimiento de los profesionales, manteniendo vigente su participación y su crecimiento en el mercado. A fin de lograrlo, priorizamos la formación de nuestros recursos humanos, con el objetivo de alcanzar la excelencia.

Trabajamos comprometidamente en la búsqueda de soluciones para el tratamiento adecuado de los pacientes, distinguiéndose por su vinculación permanente con organismos de investigación como el CEPROCOR, la Universidad Nacional de Córdoba, el CONICET y otras...",,,Hualfin 359|Córdoba Capital|provincia de Córdoba,Córdoba,Córdoba,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/eb6cffac-3821-47d4-ab86-da71a976d28a.jpg,,,,,,,"-31.404872529631913, -64.20586259998977",,
Eureka Nanobioengineering,Empresa,,"Hemos creado una plataforma modular y rentable que permite el autoensamblaje bajo demanda de nanobiomateriales multifuncionales inteligentes.

Actualmente está en marcha el desarrollo de unidades de negocio estratégicas basadas en aplicaciones de vacunología e inmunoingeniería de esta plataforma patentada.",,,Av 25 de Mayo y Francia|San Martín|provincia de Buenos Aires,Buenos Aires,San Martín,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/ec00f8e5-8279-4894-bf99-9e12c2f61842.jpeg,,,,,,,"-34.57899986310915, -58.52666445785319",,
Cálice Biotech,Empresa,,"Es un emprendimiento, recientemente incubado en el Espacio de Innovación de la FAN, que tiene como objetivo llevar al mercado plantas de cannabis genéticamente mejoradas para distintos fines.

Cálice se proyecta como una plataforma de biotecnología vegetal enfocada en el mejoramiento genético de cannabis y su modelo de negocios consiste en proveer soluciones a otras compañías y bancos de semillas, en Argentina y el mundo. En el área medicinal busca crear nuevas variedades de cannabis que tengan aplicaciones médicas y que sirvan para tratamientos de pacientes que hoy no encuentran solución utilizando fármacos convencionales.",,,Av. 25 de Mayo 1021|San Martín|provincia de Buenos Aires,Buenos Aires,San Martín,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/600c4b80-648a-4797-ad0f-30ab198605c7.png,https://www.linkedin.com/company/calice-ai/,,,,,,"-34.581823857619874, -58.52089158126257",,
BIOA S.A.,Empresa,,,,,San Juan 1273|Villa María|provincia de Córdoba,Córdoba,Villa María,,,,,,,,,"-32.40684917895795, -63.24440421939699",,
Landed Argentina,Empresa,,"LANDED Argentina es una empresa de servicios de consultoría especializada en geología, recursos naturales y minería de minerales industriales.

Nuestro equipo está compuesto por profesionales altamente cualificados con posgrados avanzados y más de veinticinco años de experiencia activa tanto a nivel nacional como internacional. Con sede en la ciudad de San Juan, Argentina, LANDED tiene la capacidad y experiencia para emprender proyectos a escala global.",,,Colón Oeste 5632|Rivadavia|provincia de San Juan,San Juan,Rivadavia,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/968cd0e3-ca4b-4f1e-8d13-79da559a11bd.png,,,,,,,"-31.53311314369453, -68.59664132165555",,
Limay Bio S.A.,Empresa,,"Nuestro laboratorio de 200 metros cuadrados en el polo biotecnológico de Buenos Aires está equipado con tecnología de punta. Este espacio está organizado en áreas independientes especializadas y con una distribución adecuada para que sean adecuadas para nuestras investigaciones en biología molecular, ingeniería de proteínas y microfluídica.

Además, contamos con un área de microingeniería y una sección para diseñar, prototipar, desarrollar e imprimir en 3D nuestros dispositivos portátiles.",,,Ayacucho 1239|ciudad de Buenos Aires,CABA,CABA,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/6b4ffc76-9c44-4f3c-91cf-4bcee07254ab.jpeg,,,,,,,"-34.5940097414697, -58.39570506441811",,
